layer,feature,pass,pass_target_specific,score,specificity,rise_tokens,d_target,frames_positive,distractor_over_target,typical_act
0,5,False,False,0.0,-0.453127384185791,3.9652951498061415,0.060559991747140884,0.43333333333333335,1.3954217433929443,0.015272505440131383
0,7,False,False,0.0,-6.137059688568115,9.123826539627261,0.2079634964466095,0.5,0.8195550441741943,0.022793451359839807
0,8,False,False,0.0,-2.2851898670196533,13.480166733787291,0.2630194127559662,0.9333333333333333,0.9332343935966492,0.019511584533796797
0,30,False,False,0.0,0.2919614911079407,2.4171429074623245,0.05508383363485336,0.16666666666666666,0.3773750364780426,0.02278881958728869
0,33,False,False,0.0,-1.537771463394165,8.336972056482388,0.18797434866428375,0.6666666666666666,1.802066445350647,0.02254707673130856
0,34,False,False,0.0,-0.717105507850647,1.0228128074168723,0.024019887670874596,0.1,0.03496316820383072,0.023484148317947984
0,42,False,False,0.0,-10.518695831298828,2.077261004660704,0.08349911123514175,0.5166666666666667,0.23111195862293243,0.04019673553193204
0,50,False,False,0.0,-0.2814568281173706,1.13045927542007,0.03836594149470329,0.2,0.05418936163187027,0.033938366758454706
0,58,False,False,0.0,-6.064724922180176,1.2407756317698078,0.020075825974345207,0.23333333333333334,2.4724605083465576,0.01618006145535725
0,59,False,False,0.0,0.7834194898605347,1.6481516065253148,0.0344637967646122,0.21666666666666667,0.1976989060640335,0.020910574384155025
0,61,False,False,0.0,-0.7842240333557129,1.310868849654097,0.018228016793727875,0.75,1.3431336879730225,0.013905294033447936
0,64,False,False,0.0,-0.292633056640625,6.026383026674022,0.1619834154844284,0.7,0.6250428557395935,0.026879044157574482
0,65,False,False,0.0,0.11921584606170654,6.618906838054286,0.1354060173034668,0.5833333333333334,0.41910257935523987,0.020457459308079816
0,70,False,False,0.0,-1.421691656112671,1.0883121089349437,0.019958214834332466,0.16666666666666666,0.7557587027549744,0.01833868673377548
0,75,False,False,0.0,-0.19045186042785645,1.05330486144995,0.0394178107380867,0.11666666666666667,0.4649416208267212,0.03742298377302203
0,81,False,False,0.0,-0.6343861818313599,5.064960086582665,0.14281991124153137,0.75,0.6952261328697205,0.028197638046520552
0,99,False,False,0.0,-0.08581805229187012,1.1337452895258087,0.02131667174398899,0.16666666666666666,0.3935127258300781,0.01880199365847397
0,103,False,False,0.0,0.7466413974761963,1.1187605534301888,0.017693104222416878,0.08333333333333333,0.15894553065299988,0.015814916040942567
0,114,False,False,0.0,-3.1679906845092773,3.3467865981764726,0.08167396485805511,0.7333333333333333,1.5357418060302734,0.02440369663920488
0,115,False,False,0.0,-0.4578944444656372,7.5801397824772785,0.25322702527046204,0.31666666666666665,0.10091683268547058,0.03340664321993604
0,116,False,False,0.0,-4.074234485626221,1.4214750127860085,0.07331012189388275,0.23333333333333334,0.83107590675354,0.05157327510822661
0,117,False,False,0.0,-0.5383491516113281,4.053424426928681,0.09809274971485138,0.8333333333333334,0.6467933058738708,0.024199970045864945
0,130,False,False,0.0,-3.217609405517578,3.18193945830798,0.1326795518398285,0.1,0.003415948711335659,0.04169769839379089
0,133,False,False,0.0,-1.393183946609497,6.2536346246877415,0.17893777787685394,0.43333333333333335,0.07746689766645432,0.028613404622402083
0,136,False,False,0.0,0.33420348167419434,4.600753531471527,0.058120954781770706,0.23333333333333334,0.5812146663665771,0.0126329207561747
0,140,False,False,0.0,-0.768252968788147,1.5888363633575773,0.029562395066022873,0.6,1.292916178703308,0.018606318276572373
0,142,False,False,0.0,0.3279428482055664,23.624924497678748,0.42500022053718567,0.7833333333333333,0.5916612148284912,0.017989484816298303
0,147,False,False,0.0,0.48378878831863403,12.883077323221286,0.1618662178516388,0.7833333333333333,0.18431967496871948,0.012564251055132668
0,154,False,False,0.0,-0.3930482864379883,2.078398213087514,0.04769512265920639,0.7,0.33825284242630005,0.02294801946945194
0,161,False,False,0.0,0.37068742513656616,13.172522421998002,0.39482805132865906,0.48333333333333334,0.23870790004730225,0.029973610116563517
