frame,task_id,family,split,method,scope,direction,draw,k,gap,n_features,closed_pct,proj_pct,pred_pct
6,0,cover,test,sel_capped,all,inject,,,0.39580032229423523,129,-1.789907351597475,-1.7093067370859765,-1.8926367163658142
6,0,cover,test,rand_sel_same_norm,all,inject,0,,0.39580032229423523,129,0.26492270264226736,0.27000626807806766,
6,0,cover,test,rand_sel_same_norm,all,inject,1,,0.39580032229423523,129,-0.11924684065898195,-0.07993436264538549,
6,0,cover,test,rand_sel_same_norm,all,inject,2,,0.39580032229423523,129,-0.013365103376261622,0.020856004522017194,
6,0,cover,test,rand_sel_same_norm,all,inject,3,,0.39580032229423523,129,0.25058627626007857,0.25798285833926154,
6,0,cover,test,rand_sel_same_norm,all,inject,4,,0.39580032229423523,129,-0.018937033797894465,-0.011720496115226537,
6,0,cover,test,sel_uncapped,all,inject,,,0.39580032229423523,457,-2.294084228763893,-2.022889899241134,-3.3463802188634872
6,0,cover,test,sel_target,all,inject,,,0.39580032229423523,129,-1.5489514794039927,-1.4696062351179346,
6,0,cover,test,sel_xtask,all,inject,,,0.39580032229423523,132,-0.9253771688644941,-0.8957221073787215,-1.0561703704297543
6,0,cover,test,color,all,inject,,,0.39580032229423523,130,-0.23557218266443414,-0.23278444529574543,
6,0,cover,test,sel_capped,all,remove,,,0.39580032229423523,129,0.22978189280735695,0.2588489043147336,-0.16071556601673365
6,0,cover,test,attr,all,inject,,,0.39580032229423523,100,2.7935400243433106,3.3021172319749814,2.4748174473643303
6,0,cover,test,rand_attr_same_norm,all,inject,0,,0.39580032229423523,100,0.1861401242615801,0.2275940940050823,
6,0,cover,test,rand_attr_same_norm,all,inject,1,,0.39580032229423523,100,-0.05487598501752178,-0.047743427350518404,
6,0,cover,test,rand_attr_same_norm,all,inject,2,,0.39580032229423523,100,-0.3571080325777132,-0.33534799247569735,
6,0,cover,test,rand_attr_same_norm,all,inject,3,,0.39580032229423523,100,0.10399932835649661,0.13512602793871328,
6,0,cover,test,rand_attr_same_norm,all,inject,4,,0.39580032229423523,100,-0.6330917700705374,-0.6235812575986587,
6,0,cover,test,attr,all,remove,,,0.39580032229423523,100,6.575103786616143,8.03028766630083,5.408753827214241
