layer,feature,pass,pass_target_specific,score,specificity,rise_tokens,d_target,frames_positive,distractor_over_target,typical_act
0,8,False,False,0.0,-0.20509397983551025,36.74809376151848,0.7170135378837585,0.8833333333333333,0.4774699807167053,0.019511584533796797
0,14,False,False,0.0,0.9975376725196838,2.569824626009078,0.2562966048717499,0.3,0.024630868807435036,0.09973311107605695
0,20,False,False,0.0,0.8383045792579651,9.595478575356488,0.21679334342479706,0.6166666666666667,0.12528319656848907,0.022593280962720803
0,22,False,False,0.0,-0.2398667335510254,1.1660252721949258,0.016890935599803925,0.4,0.6867393851280212,0.014485908669893946
0,29,False,False,0.0,0.5061834454536438,4.7698186144436265,0.13301773369312286,0.8833333333333333,0.3915185332298279,0.02788737779049459
0,37,False,False,0.0,0.7626857757568359,6.448651050610026,0.11672267317771912,0.3,0.3882405459880829,0.018100323968789946
0,40,False,False,0.0,0.07107198238372803,11.650732502893247,0.19383178651332855,0.7166666666666667,0.17054857313632965,0.01663687553252072
0,42,False,False,0.0,0.3149808645248413,34.92944430320973,1.4040496349334717,0.8333333333333334,0.009278395213186741,0.04019673553193204
0,49,False,False,0.0,-0.3818836212158203,55.89212854646956,1.0896388292312622,0.6833333333333333,1.2401517629623413,0.0194953897367734
0,58,False,False,0.0,-0.9196809530258179,4.566247799823494,0.07388217002153397,0.21666666666666667,0.743648111820221,0.01618006145535725
0,61,False,False,0.0,0.5880681872367859,5.677841760111655,0.07895205914974213,0.7166666666666667,0.17052151262760162,0.013905294033447936
0,70,False,False,0.0,-0.4741833209991455,1.787807693071633,0.0327860452234745,0.21666666666666667,1.9129443168640137,0.01833868673377548
0,76,False,False,0.0,0.523270308971405,2.7870036179386792,0.13744737207889557,0.3,0.025448067113757133,0.04931725642342519
0,81,False,False,0.0,-6.767872333526611,1.0656844399314638,0.03004978410899639,0.6166666666666667,8.370637893676758,0.028197638046520552
0,86,False,False,0.0,0.14737045764923096,2.0283924532813793,0.04238573834300041,0.18333333333333332,0.12371226400136948,0.020896221672700457
0,87,False,False,0.0,0.9991298913955688,6.120377199656887,0.30189451575279236,0.11666666666666667,0.013607651926577091,0.049326129077423
0,99,False,False,0.0,0.8670476078987122,8.60842797656839,0.16185560822486877,0.2833333333333333,0.04215893894433975,0.01880199365847397
0,102,False,False,0.0,0.5492587089538574,1.089736510791584,0.03194903954863548,0.5166666666666667,0.1518724113702774,0.029318132624030113
0,107,False,False,0.0,0.998693585395813,4.588191134483705,0.12414170801639557,0.05,0.0,0.027056786515142605
0,111,False,False,0.0,0.9965211153030396,1.0629686747626648,0.017217855900526047,0.08333333333333333,0.0,0.01619789586402476
0,119,False,False,0.0,-4.479757785797119,1.3916469706260726,0.02138541080057621,0.36666666666666664,2.324845552444458,0.01536697973837098
0,120,False,False,0.0,0.9904186725616455,10.155824529196561,0.3153601884841919,0.3,5.1190159865655005e-05,0.031052150180182404
0,121,False,False,0.0,0.8097242712974548,9.645245529338773,0.33541688323020935,0.7166666666666667,0.35761046409606934,0.03477535975729627
0,122,False,False,0.0,0.9797689318656921,20.660353198773077,0.5389458537101746,0.43333333333333335,0.0003770286566577852,0.026085994199856178
0,125,False,False,0.0,-0.9947669506072998,1.5073182460203451,0.058316756039857864,0.4,1.0605089664459229,0.03868907988994829
0,130,False,False,0.0,-3.2615394592285156,3.1491382981676073,0.1313118189573288,0.18333333333333332,0.02874969318509102,0.04169769839379089
0,140,False,False,0.0,0.49491798877716064,17.36621583484182,0.3231213390827179,0.8666666666666667,0.29722172021865845,0.018606318276572373
0,142,False,False,0.0,0.6816636919975281,49.8758682828883,0.8972411751747131,0.7833333333333333,0.34546706080436707,0.017989484816298303
0,147,False,False,0.0,-3.5101370811462402,1.4745425223837867,0.01852652244269848,0.6,2.06613826751709,0.012564251055132668
0,156,False,False,0.0,0.9136868119239807,6.714280663381942,0.13084378838539124,0.31666666666666665,0.17978142201900482,0.01948738739787592
0,158,False,False,0.0,0.8842530250549316,5.690766840544705,0.10350853949785233,0.35,0.018035655841231346,0.018188856159136676
0,167,False,False,0.0,0.04089146852493286,1.8764421747507654,0.06046196445822716,0.6166666666666667,0.552645206451416,0.03222159748474951
0,171,False,False,0.0,-0.2221745252609253,3.088907489603366,0.07952078431844711,0.5666666666666667,0.5628141760826111,0.02574398378264739
0,174,False,False,0.0,0.45572006702423096,20.43912332111986,0.37144240736961365,0.8666666666666667,0.6331908106803894,0.01817310857877158
