run,family,direction,method,mean,ci95,sd,median,n_frames,n_tasks
main,cover,inject,sel_capped,0.16156658774657454,"[-0.10676455959513946, 0.49998888331794383]",0.9529688696648445,0.0303564193817551,70,8
main,cover,inject,sel_uncapped,0.4629942113071648,"[-0.253132866592693, 1.1268979353998236]",2.619062984584412,0.1597308165241229,70,8
main,cover,inject,sel_target,0.17555115827629283,"[-0.08539370621547071, 0.4861695346408087]",0.8602855220179395,0.041480396256332555,70,8
main,cover,inject,sel_xtask,0.12317759513169427,"[-0.16068018107060272, 0.42409359033896293]",0.7863791126238308,-0.038001778446461396,70,8
main,cover,inject,color,0.0032989283266396836,"[-0.028330564309886, 0.037511744172282244]",0.18961073087274607,-0.00884772756376545,70,8
main,cover,inject,rand_sel_same_norm,0.04104825965426771,"[-0.010655465984888278, 0.08982028778728661]",0.23376478785025734,0.018286623337526724,70,8
main,cover,inject,attr,1.487749548317172,"[0.6479486417941951, 2.542574354852515]",2.746333058437991,0.685279603781902,70,8
main,cover,inject,attr_xtask,0.6520801893385493,"[0.272046101519439, 0.9912325459651362]",1.5706481062370894,0.2730761343721966,70,8
main,cover,inject,rand_attr_same_norm,0.03551873999368852,"[-0.0001445067082987806, 0.07373162822631885]",0.19154449509926477,0.024401191370754232,70,8
main,cover,inject,rand_attr_raw,0.000802644076404332,"[-0.038418349083022975, 0.042059536108542545]",0.25350940288157336,0.010871452624389126,70,8
main,cover,inject,all_tc,56.849005855843394,"[49.40461114656165, 67.8174053564913]",20.681805565445835,52.171868043998224,70,8
main,cover,inject,tc_error,6.880775101062547,"[2.205703493529485, 11.953301394271376]",15.5256178799113,4.3992772883984905,70,8
main,cover,inject,mlp_ceiling,73.25867570527734,"[67.46234044827338, 80.90022893127976]",18.89667225957055,75.83728725601952,70,8
main,cover,inject,single_attr_0,-0.019310776012186587,"[-0.056024477527738724, 0.014034053813596074]",0.17291182787524875,0.0009025540345263999,70,8
main,cover,inject,single_attr_1,0.022264475575473848,"[-0.005841043080143875, 0.059265278981393894]",0.16149748706941583,0.00760590733369645,70,8
main,cover,inject,single_attr_2,0.02808551261377658,"[-0.02509032613800284, 0.09030092311472768]",0.26444208596222557,-0.0095475514104492,70,8
main,cover,remove,sel_capped,0.39977889981909037,"[-1.1629819350280257, 1.8330610179350266]",5.096910638165481,0.2904039135124436,70,8
