frame,task_id,family,split,method,scope,direction,draw,k,gap,n_features,closed_pct,proj_pct,pred_pct
6,0,cover,test,sel_capped,all,inject,,,0.8249359726905823,129,0.032470795611805325,0.03905841218992163,-0.054665375500917435
6,0,cover,test,rand_sel_same_norm,all,inject,0,,0.8249359726905823,129,-0.15229626833681564,-0.14965086062919067,
6,0,cover,test,rand_sel_same_norm,all,inject,1,,0.8249359726905823,129,-0.011466656127256947,-0.009803585515491355,
6,0,cover,test,rand_sel_same_norm,all,inject,2,,0.8249359726905823,129,0.09226070074924708,0.09304366871046194,
6,0,cover,test,rand_sel_same_norm,all,inject,3,,0.8249359726905823,129,-0.037752538289193005,-0.037023916496246735,
6,0,cover,test,rand_sel_same_norm,all,inject,4,,0.8249359726905823,129,0.02523097869969737,0.02637456438934453,
6,0,cover,test,rand_sel_same_norm,all,inject,5,,0.8249359726905823,129,-0.22208608026703658,-0.22068148438119115,
6,0,cover,test,rand_sel_same_norm,all,inject,6,,0.8249359726905823,129,0.07410335553953429,0.07505398857231384,
6,0,cover,test,rand_sel_same_norm,all,inject,7,,0.8249359726905823,129,0.23123339385059394,0.2327563773580941,
6,0,cover,test,sel_uncapped,all,inject,,,0.8249359726905823,452,-0.10744842045908864,-0.0782609049830036,-0.4139798227697611
6,0,cover,test,sel_target,all,inject,,,0.8249359726905823,129,0.028648576902712275,0.03459027123583577,
6,0,cover,test,sel_xtask,all,inject,,,0.8249359726905823,126,0.411795294682582,0.42067927538718297,0.2579024527221918
6,0,cover,test,color,all,inject,,,0.8249359726905823,130,0.043930226372890235,0.0445225361202352,
6,0,cover,test,sel_capped,all,remove,,,0.8249359726905823,129,2.7312462188755604,2.8262120390165437,2.341192215681076
6,0,cover,test,attr,all,inject,,,0.8249359726905823,100,3.158222007901801,3.406362053293124,1.028738822788
6,0,cover,test,rand_attr_same_norm,all,inject,0,,0.8249359726905823,100,0.21892859524647035,0.2325346070923178,
6,0,cover,test,rand_attr_same_norm,all,inject,1,,0.8249359726905823,100,0.46112286959174575,0.46584498469231617,
6,0,cover,test,rand_attr_same_norm,all,inject,2,,0.8249359726905823,100,0.37874646977640314,0.40848298683825557,
6,0,cover,test,rand_attr_same_norm,all,inject,3,,0.8249359726905823,100,0.2915362999867943,0.29596335554013614,
6,0,cover,test,rand_attr_same_norm,all,inject,4,,0.8249359726905823,100,-0.34301703401753425,-0.319761792528528,
6,0,cover,test,rand_attr_same_norm,all,inject,5,,0.8249359726905823,100,0.24671012820761673,0.25000988882173597,
6,0,cover,test,rand_attr_same_norm,all,inject,6,,0.8249359726905823,100,-0.32214295112422686,-0.31598814448090873,
6,0,cover,test,rand_attr_same_norm,all,inject,7,,0.8249359726905823,100,0.1751067493662828,0.18639653201794473,
6,0,cover,test,attr,all,remove,,,0.8249359726905823,100,45.75571513820428,57.69375676231644,25.21441876888275
6,0,cover,test,rand_attr_same_norm,all,remove,0,,0.8249359726905823,100,-0.637465156574768,-0.6264352354988613,
6,0,cover,test,rand_attr_same_norm,all,remove,1,,0.8249359726905823,100,-0.5882315114259518,-0.5755317773697921,
6,0,cover,test,rand_attr_same_norm,all,remove,2,,0.8249359726905823,100,0.12861151799957726,0.13680600291098724,
6,0,cover,test,attr_xtask,all,inject,,,0.8249359726905823,100,1.1697506576708983,1.2187003326696129,0.5793246440589428
6,0,cover,test,rand_attr_raw,all,inject,0,,0.8249359726905823,100,0.010585161453335878,0.01784017539764775,-0.04473046574275941
6,0,cover,test,rand_attr_raw,all,inject,1,,0.8249359726905823,100,0.1762050050255981,0.17748785878114717,0.09195106686092913
6,0,cover,test,single_attr_0,all,inject,,,0.8249359726905823,1,-0.058958988026769354,-0.057917168007940174,-0.03286918217781931
6,0,cover,test,single_attr_1,all,inject,,,0.8249359726905823,1,0.01657499001634921,0.01679849077981837,0.008203295146813616
6,0,cover,test,single_attr_2,all,inject,,,0.8249359726905823,1,0.03913258322953972,0.04003963362975521,-0.017666078929323703
6,0,cover,test,mlp_ceiling,all,inject,,,0.8249359726905823,,81.07362474728379,89.86539654969951,
6,0,cover,test,mlp_ceiling,all,remove,,,0.8249359726905823,,95.35949186239522,97.53497249524183,
6,0,cover,test,all_tc,all,inject,,,0.8249359726905823,73728,72.69771293316703,83.00343874341497,14.835892617702484
6,0,cover,test,tc_error,all,inject,,,0.8249359726905823,,5.518864744685548,9.875054462092622,
6,0,cover,test,k_attr_10,all,inject,,10,0.8249359726905823,10,0.11549747838333069,0.11869392620661122,-0.013247496099211276
6,0,cover,test,k_random_10,all,inject,,10,0.8249359726905823,10,0.058337606535319164,0.05867426371751245,-0.017234389088116586
6,0,cover,test,k_magnitude_10,all,inject,,10,0.8249359726905823,10,0.5154142710664056,0.5379307314093275,0.4116418305784464
6,0,cover,test,k_oracle_10,all,inject,,10,0.8249359726905823,10,3.7776960026889905,3.9273479047765907,3.566475957632065
6,0,cover,test,k_attr_30,all,inject,,30,0.8249359726905823,30,0.31466469712818634,0.3271303110590288,-0.024439184926450253
6,0,cover,test,k_random_30,all,inject,,30,0.8249359726905823,30,0.14703620175794407,0.1486863026147378,0.0882516906131059
6,0,cover,test,k_magnitude_30,all,inject,,30,0.8249359726905823,30,0.29265623174465905,0.31946750023271114,0.0038673519156873226
6,0,cover,test,k_oracle_30,all,inject,,30,0.8249359726905823,30,12.900667327594995,14.693344064418286,8.153136074543
6,0,cover,test,k_attr_100,all,inject,,100,0.8249359726905823,100,3.158222007901801,3.406362053293124,1.028738822788
6,0,cover,test,k_random_100,all,inject,,100,0.8249359726905823,100,0.28795974372781696,0.2932274381832426,0.12614961015060544
6,0,cover,test,k_magnitude_100,all,inject,,100,0.8249359726905823,100,0.7342995141157993,0.8507771054335503,0.32282364554703236
6,0,cover,test,k_oracle_100,all,inject,,100,0.8249359726905823,100,22.186014306658553,25.905305563971027,17.978349328041077
6,0,cover,test,k_attr_300,all,inject,,300,0.8249359726905823,300,12.765249514654087,14.622856454996807,3.3363759517669678
6,0,cover,test,k_random_300,all,inject,,300,0.8249359726905823,300,0.14348854696368818,0.1552328547550684,0.05235717399045825
6,0,cover,test,k_magnitude_300,all,inject,,300,0.8249359726905823,300,0.04466721372322624,0.1516092557385476,-0.08821743540465832
6,0,cover,test,k_oracle_300,all,inject,,300,0.8249359726905823,300,42.078213288329906,51.015853762210284,35.147133469581604
6,0,cover,test,k_attr_1000,all,inject,,1000,0.8249359726905823,1000,31.74452347951381,38.15057656305165,7.986383140087128
6,0,cover,test,k_random_1000,all,inject,,1000,0.8249359726905823,1000,-0.6507309288807939,-0.631208626507185,-0.6793036591261625
6,0,cover,test,k_magnitude_1000,all,inject,,1000,0.8249359726905823,1000,1.4372264882791197,1.6175195462936915,0.6485000252723694
6,0,cover,test,k_oracle_1000,all,inject,,1000,0.8249359726905823,1000,59.64832769983575,78.3482679533035,65.14933109283447
6,0,cover,test,k_attr_3000,all,inject,,3000,0.8249359726905823,3000,64.34722537629527,76.61808871159778,10.379233211278915
6,0,cover,test,k_random_3000,all,inject,,3000,0.8249359726905823,3000,2.6021867281728395,2.8850216496627916,1.1960947886109352
6,0,cover,test,k_magnitude_3000,all,inject,,3000,0.8249359726905823,3000,3.2676935308912247,3.803726321842475,2.425742708146572
6,0,cover,test,k_oracle_3000,all,inject,,3000,0.8249359726905823,3000,61.11505535822679,104.97109417026742,101.60969495773315
6,0,cover,test,k_attr_30,all,remove,,30,0.8249359726905823,30,23.08563742433326,27.724112031655633,11.414452642202377
6,0,cover,test,k_attr_100,all,remove,,100,0.8249359726905823,100,45.75571513820428,57.69375676231644,25.21441876888275
6,0,cover,test,k_attr_300,all,remove,,300,0.8249359726905823,300,62.600713476008785,83.28843860984232,44.70451474189758
6,0,cover,test,k_attr_1000,all,remove,,1000,0.8249359726905823,1000,68.85798535548332,93.18288032766752,76.43979787826538
